"n","x0","eta","c","r","Weight","Power","MCSE"
50,0.5,0.05,1,8,"Uniform",0,0
50,0.5,0.05,1,8,"Central",0.0536,0.00318518570887162
50,0.5,0.05,1,8,"Tail",0.044,0.00290048271844533
50,0.5,0.05,1,8,"Localized",0.052,0.00313993630508646
50,0.5,0.05,1.5,1,"Uniform",0,0
50,0.5,0.05,1.5,1,"Central",0.0406,0.00279111590586991
50,0.5,0.05,1.5,1,"Tail",0.0506,0.00309966578843591
50,0.5,0.05,1.5,1,"Localized",0.0314,0.00246633493264804
50,0.5,0.05,1.5,2,"Uniform",0,0
50,0.5,0.05,1.5,2,"Central",0.0396,0.00275796446677618
50,0.5,0.05,1.5,2,"Tail",0.0534,0.00317957355631223
50,0.5,0.05,1.5,2,"Localized",0.0284,0.00234918879615922
50,0.5,0.05,1.5,3,"Uniform",0,0
50,0.5,0.05,1.5,3,"Central",0.0442,0.00290676314824583
50,0.5,0.05,1.5,3,"Tail",0.0506,0.00309966578843591
50,0.5,0.05,1.5,3,"Localized",0.0286,0.0023572034277932
50,0.5,0.05,1.5,5,"Uniform",0,0
50,0.5,0.05,1.5,5,"Central",0.0438,0.00289418589589542
50,0.5,0.05,1.5,5,"Tail",0.049,0.00305283474822991
50,0.5,0.05,1.5,5,"Localized",0.04,0.0027712812921102
50,0.5,0.05,1.5,8,"Uniform",0,0
50,0.5,0.05,1.5,8,"Central",0.0472,0.00299907185642492
50,0.5,0.05,1.5,8,"Tail",0.0414,0.00281730509529941
50,0.5,0.05,1.5,8,"Localized",0.0568,0.00327333957908433
50,0.5,0.05,2,1,"Uniform",0,0
50,0.5,0.05,2,1,"Central",0.0396,0.00275796446677618
50,0.5,0.05,2,1,"Tail",0.0538,0.00319078548323136
50,0.5,0.05,2,1,"Localized",0.0194,0.00195057119839292
50,0.5,0.05,2,2,"Uniform",0,0
50,0.5,0.05,2,2,"Central",0.0384,0.00271755183943195
50,0.5,0.05,2,2,"Tail",0.0548,0.00321860093829602
50,0.5,0.05,2,2,"Localized",0.0218,0.00206517602155361
50,0.5,0.05,2,3,"Uniform",0,0
50,0.5,0.05,2,3,"Central",0.0416,0.00282380735886852
50,0.5,0.05,2,3,"Tail",0.054,0.00319637294444813
50,0.5,0.05,2,3,"Localized",0.0236,0.00214676687136727
50,0.5,0.05,2,5,"Uniform",0,0
50,0.5,0.05,2,5,"Central",0.0486,0.0030409879973456
50,0.5,0.05,2,5,"Tail",0.046,0.00296256645495084
50,0.5,0.05,2,5,"Localized",0.0316,0.00247392158323581
50,0.5,0.05,2,8,"Uniform",0,0
50,0.5,0.05,2,8,"Central",0.048,0.00302311098043059
50,0.5,0.05,2,8,"Tail",0.0362,0.00264157377334043
50,0.5,0.05,2,8,"Localized",0.0582,0.003310974478911
50,0.5,0.1,0.5,1,"Uniform",0,0
50,0.5,0.1,0.5,1,"Central",0.0392,0.0027445713690848
50,0.5,0.1,0.5,1,"Tail",0.0496,0.00307049963361014
50,0.5,0.1,0.5,1,"Localized",0.0424,0.00284963997726029
50,0.5,0.1,0.5,2,"Uniform",0,0
50,0.5,0.1,0.5,2,"Central",0.0342,0.0025702280054501
50,0.5,0.1,0.5,2,"Tail",0.0576,0.00329491244193226
50,0.5,0.1,0.5,2,"Localized",0.0404,0.00278452293939195
50,0.5,0.1,0.5,3,"Uniform",0,0
50,0.5,0.1,0.5,3,"Central",0.0436,0.00288787257336608
50,0.5,0.1,0.5,3,"Tail",0.0538,0.00319078548323136
50,0.5,0.1,0.5,3,"Localized",0.044,0.00290048271844533
50,0.5,0.1,0.5,5,"Uniform",0,0
50,0.5,0.1,0.5,5,"Central",0.0416,0.00282380735886852
50,0.5,0.1,0.5,5,"Tail",0.0518,0.0031342227106573
50,0.5,0.1,0.5,5,"Localized",0.0404,0.00278452293939195
50,0.5,0.1,0.5,8,"Uniform",0,0
50,0.5,0.1,0.5,8,"Central",0.0506,0.00309966578843591
50,0.5,0.1,0.5,8,"Tail",0.0454,0.00294410733499986
50,0.5,0.1,0.5,8,"Localized",0.0472,0.00299907185642492
50,0.5,0.1,1,1,"Uniform",0,0
50,0.5,0.1,1,1,"Central",0.0364,0.00264858603787002
50,0.5,0.1,1,1,"Tail",0.0532,0.00317394895989208
50,0.5,0.1,1,1,"Localized",0.0394,0.00275127752144345
50,0.5,0.1,1,2,"Uniform",0,0
50,0.5,0.1,1,2,"Central",0.0302,0.00242024626846112
50,0.5,0.1,1,2,"Tail",0.0594,0.00334280241713446
50,0.5,0.1,1,2,"Localized",0.0274,0.00230864635663412
50,0.5,0.1,1,3,"Uniform",0,0
50,0.5,0.1,1,3,"Central",0.0418,0.00283029185774188
50,0.5,0.1,1,3,"Tail",0.059,0.00333223648620562
50,0.5,0.1,1,3,"Localized",0.0304,0.00242799670510485
50,0.5,0.1,1,5,"Uniform",0,0
50,0.5,0.1,1,5,"Central",0.0478,0.00301712313305241
50,0.5,0.1,1,5,"Tail",0.0458,0.00295642892693195
50,0.5,0.1,1,5,"Localized",0.031,0.00245108139399735
50,0.5,0.1,1,8,"Uniform",0,0
50,0.5,0.1,1,8,"Central",0.0472,0.00299907185642492
50,0.5,0.1,1,8,"Tail",0.0412,0.00281078494374792
50,0.5,0.1,1,8,"Localized",0.0452,0.00293792307591605
50,0.5,0.1,1.5,1,"Uniform",0,0
50,0.5,0.1,1.5,1,"Central",0.0378,0.00269707841932711
50,0.5,0.1,1.5,1,"Tail",0.0602,0.00336380617753164
50,0.5,0.1,1.5,1,"Localized",0.023,0.00211995282966391
50,0.5,0.1,1.5,2,"Uniform",0,0
50,0.5,0.1,1.5,2,"Central",0.0296,0.00239682456596222
50,0.5,0.1,1.5,2,"Tail",0.065,0.00348640215695206
50,0.5,0.1,1.5,2,"Localized",0.0262,0.00225891832521674
50,0.5,0.1,1.5,3,"Uniform",0,0
50,0.5,0.1,1.5,3,"Central",0.036,0.00263453980801202
50,0.5,0.1,1.5,3,"Tail",0.0562,0.00325704037432759
50,0.5,0.1,1.5,3,"Localized",0.0296,0.00239682456596222
50,0.5,0.1,1.5,5,"Uniform",0,0
50,0.5,0.1,1.5,5,"Central",0.0456,0.00295027591929975
50,0.5,0.1,1.5,5,"Tail",0.0408,0.00279769047608916
50,0.5,0.1,1.5,5,"Localized",0.0354,0.00261330595223751
50,0.5,0.1,1.5,8,"Uniform",0,0
50,0.5,0.1,1.5,8,"Central",0.0418,0.00283029185774188
50,0.5,0.1,1.5,8,"Tail",0.0378,0.00269707841932711
50,0.5,0.1,1.5,8,"Localized",0.0362,0.00264157377334043
50,0.5,0.1,2,1,"Uniform",0,0
50,0.5,0.1,2,1,"Central",0.0286,0.0023572034277932
50,0.5,0.1,2,1,"Tail",0.0694,0.00359398497492686
50,0.5,0.1,2,1,"Localized",0.0204,0.00199919183671803
50,0.5,0.1,2,2,"Uniform",0,0
50,0.5,0.1,2,2,"Central",0.0282,0.00234114331043616
50,0.5,0.1,2,2,"Tail",0.0678,0.00355536664775941
50,0.5,0.1,2,2,"Localized",0.0206,0.0020087628033195
50,0.5,0.1,2,3,"Uniform",0,0
50,0.5,0.1,2,3,"Central",0.0342,0.0025702280054501
50,0.5,0.1,2,3,"Tail",0.0518,0.0031342227106573
50,0.5,0.1,2,3,"Localized",0.0236,0.00214676687136727
50,0.5,0.1,2,5,"Uniform",0,0
50,0.5,0.1,2,5,"Central",0.041,0.00280424677944007
50,0.5,0.1,2,5,"Tail",0.0416,0.00282380735886852
50,0.5,0.1,2,5,"Localized",0.0262,0.00225891832521674
50,0.5,0.1,2,8,"Uniform",0,0
50,0.5,0.1,2,8,"Central",0.05,0.00308220700148449
50,0.5,0.1,2,8,"Tail",0.0298,0.00240466047499434
50,0.5,0.1,2,8,"Localized",0.0332,0.0025336834845734
50,0.5,0.2,0.5,1,"Uniform",0,0
50,0.5,0.2,0.5,1,"Central",0.0478,0.00301712313305241
50,0.5,0.2,0.5,1,"Tail",0.0574,0.0032895361375124
50,0.5,0.2,0.5,1,"Localized",0.0484,0.00303504332753257
50,0.5,0.2,0.5,2,"Uniform",0,0
50,0.5,0.2,0.5,2,"Central",0.0386,0.00272433624943765
50,0.5,0.2,0.5,2,"Tail",0.0624,0.00342070869850094
50,0.5,0.2,0.5,2,"Localized",0.0398,0.00276463234445378
50,0.5,0.2,0.5,3,"Uniform",0,0
50,0.5,0.2,0.5,3,"Central",0.0462,0.00296868859936505
50,0.5,0.2,0.5,3,"Tail",0.05,0.00308220700148449
50,0.5,0.2,0.5,3,"Localized",0.0394,0.00275127752144345
50,0.5,0.2,0.5,5,"Uniform",0,0
50,0.5,0.2,0.5,5,"Central",0.0502,0.00308804015517933
50,0.5,0.2,0.5,5,"Tail",0.042,0.00283675871374356
50,0.5,0.2,0.5,5,"Localized",0.0472,0.00299907185642492
50,0.5,0.2,0.5,8,"Uniform",0,0
50,0.5,0.2,0.5,8,"Central",0.0436,0.00288787257336608
50,0.5,0.2,0.5,8,"Tail",0.0422,0.00284320804725929
50,0.5,0.2,0.5,8,"Localized",0.048,0.00302311098043059
50,0.5,0.2,1,1,"Uniform",0,0
50,0.5,0.2,1,1,"Central",0.0414,0.00281730509529941
50,0.5,0.2,1,1,"Tail",0.0646,0.00347640158784914
50,0.5,0.2,1,1,"Localized",0.0372,0.00267642149146953
50,0.5,0.2,1,2,"Uniform",0,0
50,0.5,0.2,1,2,"Central",0.035,0.00259903828367341
50,0.5,0.2,1,2,"Tail",0.0626,0.00342582077756557
50,0.5,0.2,1,2,"Localized",0.0378,0.00269707841932711
50,0.5,0.2,1,3,"Uniform",0,0
50,0.5,0.2,1,3,"Central",0.0446,0.00291927525252416
50,0.5,0.2,1,3,"Tail",0.0504,0.00309385972532693
50,0.5,0.2,1,3,"Localized",0.0388,0.00273110087693589
50,0.5,0.2,1,5,"Uniform",0,0
50,0.5,0.2,1,5,"Central",0.0448,0.00292550713552369
50,0.5,0.2,1,5,"Tail",0.0398,0.00276463234445378
50,0.5,0.2,1,5,"Localized",0.0478,0.00301712313305241
50,0.5,0.2,1,8,"Uniform",0,0
50,0.5,0.2,1,8,"Central",0.0546,0.00321306209090332
50,0.5,0.2,1,8,"Tail",0.0354,0.00261330595223751
50,0.5,0.2,1,8,"Localized",0.0504,0.00309385972532693
