"n","pi","mu","r","Weight","Power","MCSE"
100,0.3,0.5,3,"Uniform",0,0
100,0.3,0.5,3,"Central",0.0444,0.00291302729132427
100,0.3,0.5,3,"Tail",0.0822,0.00388440883533132
100,0.3,0.5,5,"Uniform",0,0
100,0.3,0.5,5,"Central",0.029,0.00237314137800511
100,0.3,0.5,5,"Tail",0.0906,0.00405935068699417
100,0.3,0.5,8,"Uniform",0,0
100,0.3,0.5,8,"Central",0.0272,0.00230044169671826
100,0.3,0.5,8,"Tail",0.132,0.00478698234799336
100,0.3,1,1,"Uniform",0,0
100,0.3,1,1,"Central",0.0366,0.00265557677350891
100,0.3,1,1,"Tail",0.0718,0.00365088372863338
100,0.3,1,2,"Uniform",0,0
100,0.3,1,2,"Central",0.0182,0.00189043698651925
100,0.3,1,2,"Tail",0.1416,0.00493050585640054
100,0.3,1,3,"Uniform",0,0
100,0.3,1,3,"Central",0.0106,0.00144828450243728
100,0.3,1,3,"Tail",0.1782,0.00541192682877365
100,0.3,1,5,"Uniform",0,0
100,0.3,1,5,"Central",0.0072,0.00119567219587979
100,0.3,1,5,"Tail",0.2788,0.00634145976885449
100,0.3,1,8,"Uniform",0,0
100,0.3,1,8,"Central",0.0086,0.00130583613060751
100,0.3,1,8,"Tail",0.379,0.0068608891552043
100,0.3,1.5,1,"Uniform",0,0
100,0.3,1.5,1,"Central",0.0268,0.00228393344911799
100,0.3,1.5,1,"Tail",0.1008,0.00425768387741504
100,0.3,1.5,2,"Uniform",0,0
100,0.3,1.5,2,"Central",0.009,0.00133558975737312
100,0.3,1.5,2,"Tail",0.2694,0.00627413165306563
100,0.3,1.5,3,"Uniform",0,0
100,0.3,1.5,3,"Central",0.0022,0.000662594898863551
100,0.3,1.5,3,"Tail",0.4114,0.00695916719155389
100,0.3,1.5,5,"Uniform",0,0
100,0.3,1.5,5,"Central",0.001,0.00044698993277254
100,0.3,1.5,5,"Tail",0.5906,0.00695401524300889
100,0.3,1.5,8,"Uniform",0,0
100,0.3,1.5,8,"Central",0,0
100,0.3,1.5,8,"Tail",0.7124,0.0064013473581739
200,0.1,0.5,1,"Uniform",0,0
200,0.1,0.5,1,"Central",0.0448,0.00292550713552369
200,0.1,0.5,1,"Tail",0.0522,0.00314563697841947
200,0.1,0.5,2,"Uniform",0,0
200,0.1,0.5,2,"Central",0.0546,0.00321306209090332
200,0.1,0.5,2,"Tail",0.0526,0.00315699984162179
200,0.1,0.5,3,"Uniform",0,0
200,0.1,0.5,3,"Central",0.0516,0.00312849612433834
200,0.1,0.5,3,"Tail",0.0562,0.00325704037432759
200,0.1,0.5,5,"Uniform",0,0
200,0.1,0.5,5,"Central",0.0462,0.00296868859936505
200,0.1,0.5,5,"Tail",0.051,0.00311123769583746
200,0.1,0.5,8,"Uniform",0,0
200,0.1,0.5,8,"Central",0.0396,0.00275796446677618
200,0.1,0.5,8,"Tail",0.056,0.00325158422926425
200,0.1,1,1,"Uniform",0,0
200,0.1,1,1,"Central",0.0514,0.00312275647465504
200,0.1,1,1,"Tail",0.0448,0.00292550713552369
200,0.1,1,2,"Uniform",0,0
200,0.1,1,2,"Central",0.0426,0.00285605462132642
200,0.1,1,2,"Tail",0.0554,0.00323514574633045
200,0.1,1,3,"Uniform",0,0
200,0.1,1,3,"Central",0.0422,0.00284320804725929
200,0.1,1,3,"Tail",0.0672,0.00354073890593475
200,0.1,1,5,"Uniform",0,0
200,0.1,1,5,"Central",0.0342,0.0025702280054501
200,0.1,1,5,"Tail",0.0802,0.00384104048403554
200,0.1,1,8,"Uniform",0,0
200,0.1,1,8,"Central",0.0262,0.00225891832521674
200,0.1,1,8,"Tail",0.1042,0.00432070272062312
200,0.1,1.5,1,"Uniform",0,0
200,0.1,1.5,1,"Central",0.0476,0.00301112072159188
200,0.1,1.5,1,"Tail",0.0464,0.00297479545515318
200,0.1,1.5,2,"Uniform",0,0
200,0.1,1.5,2,"Central",0.033,0.00252630164469724
200,0.1,1.5,2,"Tail",0.0752,0.00372947610261817
200,0.1,1.5,3,"Uniform",0,0
200,0.1,1.5,3,"Central",0.0308,0.00244341400503476
200,0.1,1.5,3,"Tail",0.1174,0.00455230139599741
200,0.1,1.5,5,"Uniform",0,0
200,0.1,1.5,5,"Central",0.017,0.00182816848238886
200,0.1,1.5,5,"Tail",0.1566,0.00513958052763063
200,0.1,1.5,8,"Uniform",0,0
200,0.1,1.5,8,"Central",0.0146,0.00169628063715884
200,0.1,1.5,8,"Tail",0.2188,0.00584682067452047
200,0.2,0.5,1,"Uniform",0,0
200,0.2,0.5,1,"Central",0.0494,0.0030646252625729
200,0.2,0.5,1,"Tail",0.0488,0.00304691844328003
200,0.2,0.5,2,"Uniform",0,0
200,0.2,0.5,2,"Central",0.049,0.00305283474822991
200,0.2,0.5,2,"Tail",0.061,0.00338464178311383
200,0.2,0.5,3,"Uniform",0,0
200,0.2,0.5,3,"Central",0.0468,0.00298696367570816
200,0.2,0.5,3,"Tail",0.0654,0.00349636496950762
200,0.2,0.5,5,"Uniform",0,0
200,0.2,0.5,5,"Central",0.0318,0.00248148181536758
200,0.2,0.5,5,"Tail",0.0738,0.00369739259478893
200,0.2,0.5,8,"Uniform",0,0
200,0.2,0.5,8,"Central",0.0276,0.00231681850821336
200,0.2,0.5,8,"Tail",0.0848,0.0039397705516946
200,0.2,1,1,"Uniform",0,0
200,0.2,1,1,"Central",0.045,0.00293172304285381
200,0.2,1,1,"Tail",0.0582,0.003310974478911
200,0.2,1,2,"Uniform",0,0
200,0.2,1,2,"Central",0.031,0.00245108139399735
200,0.2,1,2,"Tail",0.0908,0.00406338184275118
200,0.2,1,3,"Uniform",0,0
200,0.2,1,3,"Central",0.0228,0.00211093154791907
200,0.2,1,3,"Tail",0.1396,0.00490126187833297
200,0.2,1,5,"Uniform",0,0
200,0.2,1,5,"Central",0.0138,0.00164982180855994
200,0.2,1,5,"Tail",0.2132,0.00579216298113235
200,0.2,1,8,"Uniform",0,0
200,0.2,1,8,"Central",0.0068,0.00116221856808433
200,0.2,1,8,"Tail",0.2792,0.00634424715785884
200,0.2,1.5,1,"Uniform",0,0
200,0.2,1.5,1,"Central",0.0276,0.00231681850821336
200,0.2,1.5,1,"Tail",0.0796,0.00382789341544406
200,0.2,1.5,2,"Uniform",0,0
200,0.2,1.5,2,"Central",0.012,0.00153987012439361
200,0.2,1.5,2,"Tail",0.1892,0.00553901363060247
200,0.2,1.5,3,"Uniform",0,0
200,0.2,1.5,3,"Central",0.0044,0.000936017093861004
200,0.2,1.5,3,"Tail",0.332,0.00665996996990227
200,0.2,1.5,5,"Uniform",0,0
200,0.2,1.5,5,"Central",0.0024,0.000691988439209789
200,0.2,1.5,5,"Tail",0.491,0.00706992220607837
200,0.2,1.5,8,"Uniform",0,0
200,0.2,1.5,8,"Central",2e-04,0.0001999799989999
200,0.2,1.5,8,"Tail",0.6286,0.00683318432357858
200,0.3,0.5,1,"Uniform",0,0
200,0.3,0.5,1,"Central",0.0398,0.00276463234445378
200,0.3,0.5,1,"Tail",0.0668,0.00353094208392038
200,0.3,0.5,2,"Uniform",0,0
200,0.3,0.5,2,"Central",0.0366,0.00265557677350891
200,0.3,0.5,2,"Tail",0.0804,0.0038454086908936
200,0.3,0.5,3,"Uniform",0,0
200,0.3,0.5,3,"Central",0.0348,0.00259187036712873
200,0.3,0.5,3,"Tail",0.1066,0.00436431987828573
200,0.3,0.5,5,"Uniform",0,0
200,0.3,0.5,5,"Central",0.025,0.00220794021658196
200,0.3,0.5,5,"Tail",0.1124,0.00446690586424205
200,0.3,0.5,8,"Uniform",0,0
200,0.3,0.5,8,"Central",0.0182,0.00189043698651925
200,0.3,0.5,8,"Tail",0.1472,0.00501063189627815
200,0.3,1,1,"Uniform",0,0
200,0.3,1,1,"Central",0.0348,0.00259187036712873
200,0.3,1,1,"Tail",0.0856,0.00395658034165869
200,0.3,1,2,"Uniform",0,0
200,0.3,1,2,"Central",0.0166,0.00180690010791964
200,0.3,1,2,"Tail",0.1626,0.00521845264422319
200,0.3,1,3,"Uniform",0,0
200,0.3,1,3,"Central",0.0074,0.00121204290353106
200,0.3,1,3,"Tail",0.2646,0.00623837863551099
200,0.3,1,5,"Uniform",0,0
200,0.3,1,5,"Central",0.0028,0.000747283078893133
200,0.3,1,5,"Tail",0.386,0.00688482389026764
200,0.3,1,8,"Uniform",0,0
200,0.3,1,8,"Central",0.0016,0.000565232695444982
200,0.3,1,8,"Tail",0.5208,0.00706494670892853
200,0.3,1.5,1,"Uniform",0,0
200,0.3,1.5,1,"Central",0.0166,0.00180690010791964
200,0.3,1.5,1,"Tail",0.1358,0.00484475716625715
200,0.3,1.5,2,"Uniform",0,0
200,0.3,1.5,2,"Central",0.0032,0.000798718974358316
200,0.3,1.5,2,"Tail",0.3644,0.00680606553009887
200,0.3,1.5,3,"Uniform",0,0
200,0.3,1.5,3,"Central",0.0018,0.000599459756781054
200,0.3,1.5,3,"Tail",0.572,0.00699737093485832
200,0.3,1.5,5,"Uniform",0,0
200,0.3,1.5,5,"Central",2e-04,0.0001999799989999
200,0.3,1.5,5,"Tail",0.757,0.00606549256037793
200,0.3,1.5,8,"Uniform",0,0
200,0.3,1.5,8,"Central",0,0
200,0.3,1.5,8,"Tail",0.8596,0.00491299989822919
500,0.1,0.5,1,"Uniform",0,0
500,0.1,0.5,1,"Central",0.055,0.0032241277890307
500,0.1,0.5,1,"Tail",0.039,0.00273784586856163
500,0.1,0.5,2,"Uniform",0,0
500,0.1,0.5,2,"Central",0.0546,0.00321306209090332
500,0.1,0.5,2,"Tail",0.0474,0.00300510365877785
500,0.1,0.5,3,"Uniform",0,0
500,0.1,0.5,3,"Central",0.0458,0.00295642892693195
500,0.1,0.5,3,"Tail",0.0452,0.00293792307591605
500,0.1,0.5,5,"Uniform",0,0
500,0.1,0.5,5,"Central",0.0466,0.00298088711627931
500,0.1,0.5,5,"Tail",0.0518,0.0031342227106573
500,0.1,0.5,8,"Uniform",0,0
500,0.1,0.5,8,"Central",0.0442,0.00290676314824583
500,0.1,0.5,8,"Tail",0.0628,0.00343092290790685
500,0.1,1,1,"Uniform",0,0
500,0.1,1,1,"Central",0.0616,0.00340015999623547
500,0.1,1,1,"Tail",0.0338,0.0025556822963741
500,0.1,1,2,"Uniform",0,0
500,0.1,1,2,"Central",0.0582,0.003310974478911
500,0.1,1,2,"Tail",0.0486,0.0030409879973456
500,0.1,1,3,"Uniform",0,0
500,0.1,1,3,"Central",0.0322,0.00249652398346181
500,0.1,1,3,"Tail",0.065,0.00348640215695206
500,0.1,1,5,"Uniform",0,0
500,0.1,1,5,"Central",0.033,0.00252630164469724
500,0.1,1,5,"Tail",0.0902,0.00405127041802939
500,0.1,1,8,"Uniform",0,0
500,0.1,1,8,"Central",0.0248,0.00219931625738546
500,0.1,1,8,"Tail",0.1382,0.00488058930867984
500,0.1,1.5,1,"Uniform",0,0
500,0.1,1.5,1,"Central",0.057,0.00327874976172321
500,0.1,1.5,1,"Tail",0.0398,0.00276463234445378
500,0.1,1.5,2,"Uniform",0,0
500,0.1,1.5,2,"Central",0.0234,0.00213786996798215
500,0.1,1.5,2,"Tail",0.0898,0.00404316608612607
500,0.1,1.5,3,"Uniform",0,0
