"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Quadratic",NA,NA,1,8,"Tail",0.298276554122463,0.298276554122463,0.0708,0.00362732297982962,0.0602530649228937,FALSE
50,"Quadratic",NA,NA,1.5,1,"Uniform",0.000100000000000046,0.000150000000000069,0,0,0.0500000025773803,FALSE
50,"Quadratic",NA,NA,1.5,1,"Central",-0.182565066938613,-0.273847600407919,0.0668,0.00353094208392038,0.0586344289023913,FALSE
50,"Quadratic",NA,NA,1.5,1,"Tail",0.298276554122463,0.447414831183694,0.0296,0.00239682456596222,0.073230855938243,FALSE
50,"Quadratic",NA,NA,1.5,2,"Uniform",0.000100000000000046,0.000150000000000069,0,0,0.0500000025773803,FALSE
50,"Quadratic",NA,NA,1.5,2,"Central",-0.182565066938613,-0.273847600407919,0.0614,0.00339499749631719,0.0586344289023913,FALSE
50,"Quadratic",NA,NA,1.5,2,"Tail",0.298276554122463,0.447414831183694,0.0448,0.00292550713552369,0.073230855938243,FALSE
50,"Quadratic",NA,NA,1.5,3,"Uniform",0.000100000000000046,0.000150000000000069,0,0,0.0500000025773803,FALSE
50,"Quadratic",NA,NA,1.5,3,"Central",-0.182565066938613,-0.273847600407919,0.057,0.00327874976172321,0.0586344289023913,FALSE
50,"Quadratic",NA,NA,1.5,3,"Tail",0.298276554122463,0.447414831183694,0.0578,0.00330027756408457,0.073230855938243,FALSE
50,"Quadratic",NA,NA,1.5,5,"Uniform",0.000100000000000046,0.000150000000000069,0,0,0.0500000025773803,FALSE
50,"Quadratic",NA,NA,1.5,5,"Central",-0.182565066938613,-0.273847600407919,0.0364,0.00264858603787002,0.0586344289023913,FALSE
50,"Quadratic",NA,NA,1.5,5,"Tail",0.298276554122463,0.447414831183694,0.0744,0.0037111895667023,0.073230855938243,FALSE
50,"Quadratic",NA,NA,1.5,8,"Uniform",0.000100000000000046,0.000150000000000069,0,0,0.0500000025773803,FALSE
50,"Quadratic",NA,NA,1.5,8,"Central",-0.182565066938613,-0.273847600407919,0.0328,0.00251889499582654,0.0586344289023913,FALSE
50,"Quadratic",NA,NA,1.5,8,"Tail",0.298276554122463,0.447414831183694,0.086,0.00396494640569075,0.073230855938243,FALSE
50,"Quadratic",NA,NA,2,1,"Uniform",0.000100000000000046,0.000200000000000092,0,0,0.0500000045820093,FALSE
50,"Quadratic",NA,NA,2,1,"Central",-0.182565066938613,-0.365130133877225,0.0748,0.00372034837078465,0.0654081616143587,FALSE
50,"Quadratic",NA,NA,2,1,"Tail",0.298276554122463,0.596553108244926,0.027,0.00229220417938717,0.091662821447148,FALSE
50,"Quadratic",NA,NA,2,2,"Uniform",0.000100000000000046,0.000200000000000092,0,0,0.0500000045820093,FALSE
50,"Quadratic",NA,NA,2,2,"Central",-0.182565066938613,-0.365130133877225,0.0672,0.00354073890593475,0.0654081616143587,FALSE
50,"Quadratic",NA,NA,2,2,"Tail",0.298276554122463,0.596553108244926,0.0374,0.00268332778467335,0.091662821447148,FALSE
50,"Quadratic",NA,NA,2,3,"Uniform",0.000100000000000046,0.000200000000000092,0,0,0.0500000045820093,FALSE
50,"Quadratic",NA,NA,2,3,"Central",-0.182565066938613,-0.365130133877225,0.0584,0.00331630637909105,0.0654081616143587,FALSE
50,"Quadratic",NA,NA,2,3,"Tail",0.298276554122463,0.596553108244926,0.0574,0.0032895361375124,0.091662821447148,FALSE
50,"Quadratic",NA,NA,2,5,"Uniform",0.000100000000000046,0.000200000000000092,0,0,0.0500000045820093,FALSE
