"n","x0","delta","r","Weight","Power","MCSE"
100,0.5,0.1,5,"Central",0.0536,0.00318518570887162
100,0.5,0.1,5,"Tail",0.0474,0.00300510365877785
100,0.5,0.1,8,"Uniform",0,0
100,0.5,0.1,8,"Central",0.054,0.00319637294444813
100,0.5,0.1,8,"Tail",0.0516,0.00312849612433834
100,0.5,0.2,1,"Uniform",0,0
100,0.5,0.2,1,"Central",0.068,0.00356022471200906
100,0.5,0.2,1,"Tail",0.0502,0.00308804015517933
100,0.5,0.2,2,"Uniform",0,0
100,0.5,0.2,2,"Central",0.0698,0.00360355269144216
100,0.5,0.2,2,"Tail",0.0548,0.00321860093829602
100,0.5,0.2,3,"Uniform",0,0
100,0.5,0.2,3,"Central",0.0594,0.00334280241713446
100,0.5,0.2,3,"Tail",0.0588,0.00332693733033852
100,0.5,0.2,5,"Uniform",0,0
100,0.5,0.2,5,"Central",0.0584,0.00331630637909105
100,0.5,0.2,5,"Tail",0.0554,0.00323514574633045
100,0.5,0.2,8,"Uniform",0,0
100,0.5,0.2,8,"Central",0.0602,0.00336380617753164
100,0.5,0.2,8,"Tail",0.0456,0.00295027591929975
100,0.5,0.4,1,"Uniform",0,0
100,0.5,0.4,1,"Central",0.0956,0.00415838045397484
100,0.5,0.4,1,"Tail",0.06,0.00335857112474933
100,0.5,0.4,2,"Uniform",0,0
100,0.5,0.4,2,"Central",0.0938,0.00412314346100157
100,0.5,0.4,2,"Tail",0.0558,0.00324611644892786
100,0.5,0.4,3,"Uniform",0,0
100,0.5,0.4,3,"Central",0.0976,0.00419700464617327
100,0.5,0.4,3,"Tail",0.0536,0.00318518570887162
100,0.5,0.4,5,"Uniform",0,0
100,0.5,0.4,5,"Central",0.077,0.00377017240985078
100,0.5,0.4,5,"Tail",0.0392,0.0027445713690848
100,0.5,0.4,8,"Uniform",0,0
100,0.5,0.4,8,"Central",0.065,0.00348640215695206
100,0.5,0.4,8,"Tail",0.025,0.00220794021658196
100,0.75,0.05,1,"Uniform",0,0
100,0.75,0.05,1,"Central",0.0326,0.00251146331846595
100,0.75,0.05,1,"Tail",0.07,0.00360832371053374
100,0.75,0.05,2,"Uniform",0,0
100,0.75,0.05,2,"Central",0.0416,0.00282380735886852
100,0.75,0.05,2,"Tail",0.0706,0.00362258581678889
100,0.75,0.05,3,"Uniform",0,0
100,0.75,0.05,3,"Central",0.0348,0.00259187036712873
100,0.75,0.05,3,"Tail",0.082,0.00388010309141394
100,0.75,0.05,5,"Uniform",0,0
100,0.75,0.05,5,"Central",0.0318,0.00248148181536758
100,0.75,0.05,5,"Tail",0.0718,0.00365088372863338
100,0.75,0.05,8,"Uniform",0,0
100,0.75,0.05,8,"Central",0.0418,0.00283029185774188
100,0.75,0.05,8,"Tail",0.0576,0.00329491244193226
100,0.75,0.1,1,"Uniform",0,0
100,0.75,0.1,1,"Central",0.0194,0.00195057119839292
100,0.75,0.1,1,"Tail",0.1076,0.00438228798688539
100,0.75,0.1,2,"Uniform",0,0
100,0.75,0.1,2,"Central",0.0124,0.00156500734822556
100,0.75,0.1,2,"Tail",0.1232,0.00464804819252124
100,0.75,0.1,3,"Uniform",0,0
100,0.75,0.1,3,"Central",0.0216,0.00205589104769684
100,0.75,0.1,3,"Tail",0.1326,0.00479619098869092
100,0.75,0.1,5,"Uniform",0,0
