"n","x0","eta","c","r","Weight","Power","MCSE","Power_MCSE"
50,0.5,0.05,1.5,8,"Uniform",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.5,0.05,1.5,8,"Central",0.0482,0.00302908435009658,"0.0482 (0.0030)"
50,0.5,0.05,1.5,8,"Tail",0.0478,0.00301712313305241,"0.0478 (0.0030)"
50,0.5,0.05,2,1,"Uniform",0.0506,0.00309966578843591,"0.0506 (0.0031)"
50,0.5,0.05,2,1,"Central",0.0438,0.00289418589589542,"0.0438 (0.0029)"
50,0.5,0.05,2,1,"Tail",0.0522,0.00314563697841947,"0.0522 (0.0031)"
50,0.5,0.05,2,2,"Uniform",0.049,0.00305283474822991,"0.0490 (0.0031)"
50,0.5,0.05,2,2,"Central",0.041,0.00280424677944007,"0.0410 (0.0028)"
50,0.5,0.05,2,2,"Tail",0.0536,0.00318518570887162,"0.0536 (0.0032)"
50,0.5,0.05,2,3,"Uniform",0.0506,0.00309966578843591,"0.0506 (0.0031)"
50,0.5,0.05,2,3,"Central",0.0434,0.00288154264240528,"0.0434 (0.0029)"
50,0.5,0.05,2,3,"Tail",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.5,0.05,2,5,"Uniform",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.5,0.05,2,5,"Central",0.0442,0.00290676314824583,"0.0442 (0.0029)"
50,0.5,0.05,2,5,"Tail",0.0598,0.00335332551357604,"0.0598 (0.0034)"
50,0.5,0.05,2,8,"Uniform",0.049,0.00305283474822991,"0.0490 (0.0031)"
50,0.5,0.05,2,8,"Central",0.0464,0.00297479545515318,"0.0464 (0.0030)"
50,0.5,0.05,2,8,"Tail",0.0428,0.00286245209566903,"0.0428 (0.0029)"
50,0.5,0.1,0.5,1,"Uniform",0.0484,0.00303504332753257,"0.0484 (0.0030)"
50,0.5,0.1,0.5,1,"Central",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.5,0.1,0.5,1,"Tail",0.0494,0.0030646252625729,"0.0494 (0.0031)"
50,0.5,0.1,0.5,2,"Uniform",0.0534,0.00317957355631223,"0.0534 (0.0032)"
50,0.5,0.1,0.5,2,"Central",0.0438,0.00289418589589542,"0.0438 (0.0029)"
50,0.5,0.1,0.5,2,"Tail",0.051,0.00311123769583746,"0.0510 (0.0031)"
50,0.5,0.1,0.5,3,"Uniform",0.0522,0.00314563697841947,"0.0522 (0.0031)"
50,0.5,0.1,0.5,3,"Central",0.0504,0.00309385972532693,"0.0504 (0.0031)"
50,0.5,0.1,0.5,3,"Tail",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.5,0.1,0.5,5,"Uniform",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.5,0.1,0.5,5,"Central",0.047,0.00299302522541993,"0.0470 (0.0030)"
50,0.5,0.1,0.5,5,"Tail",0.0562,0.00325704037432759,"0.0562 (0.0033)"
50,0.5,0.1,0.5,8,"Uniform",0.05,0.00308220700148449,"0.0500 (0.0031)"
50,0.5,0.1,0.5,8,"Central",0.0464,0.00297479545515318,"0.0464 (0.0030)"
50,0.5,0.1,0.5,8,"Tail",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.5,0.1,1,1,"Uniform",0.0486,0.0030409879973456,"0.0486 (0.0030)"
50,0.5,0.1,1,1,"Central",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.5,0.1,1,1,"Tail",0.0574,0.0032895361375124,"0.0574 (0.0033)"
50,0.5,0.1,1,2,"Uniform",0.0512,0.0031170036894428,"0.0512 (0.0031)"
50,0.5,0.1,1,2,"Central",0.0474,0.00300510365877785,"0.0474 (0.0030)"
50,0.5,0.1,1,2,"Tail",0.054,0.00319637294444813,"0.0540 (0.0032)"
50,0.5,0.1,1,3,"Uniform",0.0502,0.00308804015517933,"0.0502 (0.0031)"
